x,y,theta,v
-6.464484405517578125e+01,2.447101020812988281e+01,2.778528500293360286e-03,0.000000000000000000e+00
-6.464484405517578125e+01,2.447101020812988281e+01,2.778528500293360286e-03,0.000000000000000000e+00
-6.464484405517578125e+01,2.447101020812988281e+01,2.778528500293360286e-03,0.000000000000000000e+00
-6.464484405517578125e+01,2.447101020812988281e+01,2.778528500293360286e-03,0.000000000000000000e+00
-6.464484405517578125e+01,2.447101020812988281e+01,2.778528500293360286e-03,0.000000000000000000e+00
-6.464484405517578125e+01,2.447101020812988281e+01,2.778528500293360286e-03,0.000000000000000000e+00
-6.465128326416015625e+01,2.447099113464355469e+01,2.778477265651295349e-03,2.446958120306808038e-01
-6.466234588623046875e+01,2.447080993652343750e+01,3.326358681651098593e-03,2.317832587869647631e-01
-6.468751525878906250e+01,2.447043800354003906e+01,4.335578661047487237e-03,6.719272677407527317e-01
-6.473220825195312500e+01,2.447009658813476562e+01,4.903815314257957934e-03,1.049949547007944517e+00
-6.480121612548828125e+01,2.446954536437988281e+01,5.251471228919086555e-03,1.661314827781562364e+00
-6.490397644042968750e+01,2.446622657775878906e+01,2.735817534162564204e-03,2.315714884579858079e+00
-6.498692321777343750e+01,2.446203041076660156e+01,-2.039981395000696387e-04,1.141953081640788792e+00
-6.505083465576171875e+01,2.445433807373046875e+01,-6.632335338436034892e-03,1.521962910322640861e+00
-6.514511108398437500e+01,2.443625259399414062e+01,-2.185229992794157985e-02,2.184738440083350941e+00
-6.521984863281250000e+01,2.442013359069824219e+01,-3.367567198405196915e-02,1.041142272465304996e+00
-6.528663635253906250e+01,2.440670585632324219e+01,-4.466600517059096664e-02,1.680426098554544057e+00
-6.537805938720703125e+01,2.439688682556152344e+01,-5.426937238379510309e-02,1.952960272853094592e+00
-6.548783874511718750e+01,2.439860343933105469e+01,-5.602812812887263821e-02,2.364841357712734293e+00
-6.557141113281250000e+01,2.440328979492187500e+01,-5.522917564065966262e-02,1.129547395244746566e+00
-6.564358520507812500e+01,2.441431617736816406e+01,-4.891002284493044250e-02,1.766168562609899517e+00
-6.574120330810546875e+01,2.443673133850097656e+01,-3.504772841647158660e-02,2.130136760333752655e+00
-6.581357574462890625e+01,2.445708465576171875e+01,-2.187253787163158034e-02,1.115508845402261029e+00
-6.587142181396484375e+01,2.447772407531738281e+01,-6.495983051069927246e-03,1.515887940643201759e+00
-6.594834136962890625e+01,2.450854492187500000e+01,1.655434561487895140e-02,1.858361577275828846e+00
-6.603720855712890625e+01,2.455011367797851562e+01,4.949121197975900333e-02,2.152339942193342459e+00
-6.609943389892578125e+01,2.458456802368164062e+01,7.267985493378331663e-02,1.020876643084271951e+00
-6.614874267578125000e+01,2.460813713073730469e+01,8.974958567772794993e-02,1.318513131779049496e+00
-6.622963714599609375e+01,2.462881851196289062e+01,1.094640933778518732e-01,1.935382585826580737e+00
-6.633471679687500000e+01,2.464079284667968750e+01,1.252464437284737941e-01,2.310142619576672107e+00
-6.641510772705078125e+01,2.464616394042968750e+01,1.334414231663247352e-01,1.075315739212669985e+00
-6.648571777343750000e+01,2.463895606994628906e+01,1.329256520869604719e-01,1.747254545935853276e+00
-6.658885955810546875e+01,2.461703109741210938e+01,1.258553505445851872e-01,2.289337133699256288e+00
-6.666783142089843750e+01,2.459735488891601562e+01,1.182733059539943787e-01,1.171194479027229285e+00
-6.672881317138671875e+01,2.457712745666503906e+01,1.085715099713766008e-01,1.478102115463996169e+00
-6.680772399902343750e+01,2.454674720764160156e+01,9.169364333921535548e-02,1.862166348455343456e+00
-6.689787292480468750e+01,2.450708770751953125e+01,6.785226376320181718e-02,2.174547252556734200e+00
-6.696393585205078125e+01,2.447522926330566406e+01,5.058490982161650135e-02,9.984127907067804619e-01
-6.701446533203125000e+01,2.445182991027832031e+01,3.674466137355644757e-02,1.356087412545421200e+00
-6.709204101562500000e+01,2.442123031616210938e+01,1.585170489107247047e-02,1.910376020977911260e+00
-6.718379974365234375e+01,2.438133811950683594e+01,-1.336054759700682285e-02,2.232319013621215653e+00
-6.725203704833984375e+01,2.434808731079101562e+01,-3.468660793384604341e-02,1.084689960304210610e+00
-6.730161285400390625e+01,2.432536888122558594e+01,-5.129782556186309600e-02,1.302259227455157209e+00
-6.738105010986328125e+01,2.430256843566894531e+01,-7.066859406666343990e-02,1.980782882864009720e+00
-6.749364471435546875e+01,2.428607940673828125e+01,-8.748008973103285624e-02,2.494538910188735414e+00
-6.758243560791015625e+01,2.427683067321777344e+01,-9.646615284831344672e-02,1.249742299427372805e+00
-6.765679931640625000e+01,2.428103256225585938e+01,-9.641075077526138626e-02,1.789586759165801677e+00
-6.776322937011718750e+01,2.429946327209472656e+01,-8.912378443345135570e-02,2.372845201943011961e+00
-6.784500122070312500e+01,2.431568336486816406e+01,-8.320145512371156238e-02,1.124011703579650412e+00
-6.790345764160156250e+01,2.433191871643066406e+01,-7.480608945858895076e-02,1.462569107670321111e+00
-6.798389434814453125e+01,2.435961151123046875e+01,-5.792376619279104161e-02,1.876074903853524267e+00
-6.807588195800781250e+01,2.439638710021972656e+01,-3.408314187261789197e-02,2.142317280024959025e+00
-6.817948913574218750e+01,2.444306564331054688e+01,-1.296426948687735836e-03,2.501068668706612375e+00
-6.825847625732421875e+01,2.448281860351562500e+01,2.362481048393045083e-02,1.348044778011049161e+00
-6.831637573242187500e+01,2.451445960998535156e+01,4.621135016619067754e-02,1.529911927239283376e+00
-6.838786315917968750e+01,2.455314064025878906e+01,7.726062516677410785e-02,1.917747963508528830e+00
-6.847843170166015625e+01,2.459895706176757812e+01,1.162009588293708151e-01,2.355174683150672355e+00
-6.854930114746093750e+01,2.463703155517578125e+01,1.449804091493120950e-01,1.243597259627931662e+00
-6.860498046875000000e+01,2.466425704956054688e+01,1.686886681215244987e-01,1.471301995719777711e+00
-6.867613983154296875e+01,2.469411659240722656e+01,1.994696670929852755e-01,1.812733799030209925e+00
-6.876407623291015625e+01,2.472695541381835938e+01,2.361170773136725964e-01,2.161491968892169879e+00
-6.886637115478515625e+01,2.476059341430664062e+01,2.778285882156864561e-01,2.425949875517146026e+00
-6.898350524902343750e+01,2.479392814636230469e+01,3.250964351922576157e-01,2.745458931942067249e+00
-6.911453247070312500e+01,2.482557868957519531e+01,3.778091150174957558e-01,2.998123562200623038e+00
-6.925423431396484375e+01,2.485340309143066406e+01,4.343041160914052901e-01,3.117361229309436155e+00
-6.939728546142578125e+01,2.487556266784667969e+01,4.921434143045596010e-01,3.150910085566733354e+00
-6.954209136962890625e+01,2.489047050476074219e+01,5.508418815748871156e-01,3.187341441537982600e+00
-6.969051361083984375e+01,2.489734268188476562e+01,6.107577796480306853e-01,3.247823706756493678e+00
-6.984382629394531250e+01,2.489436721801757812e+01,6.724293999593226046e-01,3.389723422019490506e+00
-7.000505828857421875e+01,2.488001823425292969e+01,7.368496022526580536e-01,3.591023536696592355e+00
-7.017562866210937500e+01,2.485262870788574219e+01,8.052188729684174318e-01,3.838487430469861295e+00
-7.035518646240234375e+01,2.481059837341308594e+01,8.778209719207489270e-01,4.092380299023691492e+00
-7.054265594482421875e+01,2.475203132629394531e+01,9.549644929009651895e-01,4.353984815297119226e+00
-7.073643493652343750e+01,2.467493438720703125e+01,1.036612684286023267e+00,4.617256761460172498e+00
-7.093407440185546875e+01,2.457763862609863281e+01,1.122839848270336338e+00,4.869085395395124749e+00
-7.113264465332031250e+01,2.445880126953125000e+01,1.213592788211129925e+00,5.110343096844804478e+00
-7.132898712158203125e+01,2.431723785400390625e+01,1.308803992974770791e+00,5.343221819587910204e+00
-7.151969909667968750e+01,2.415205574035644531e+01,1.408408880904824301e+00,5.568814289417406194e+00
-7.170109558105468750e+01,2.396277046203613281e+01,1.512348596141199986e+00,5.787570897515633916e+00
-7.186929321289062500e+01,2.374942016601562500e+01,1.620570141778205020e+00,5.999560632757106937e+00
-7.203037261962890625e+01,2.349955940246582031e+01,1.727576620167861288e+00,6.167193913796987559e+00
-7.213755035400390625e+01,2.323248291015625000e+01,1.824707964077449507e+00,6.157454867148048017e+00
-7.220764160156250000e+01,2.294722557067871094e+01,1.908042801959881851e+00,6.188018010164880067e+00
-7.223052215576171875e+01,2.264959144592285156e+01,1.974888811111143339e+00,6.192804818647902998e+00
-7.220592498779296875e+01,2.234702110290527344e+01,2.023739973934793657e+00,6.224013821776695821e+00
-7.213393402099609375e+01,2.204487037658691406e+01,2.053843148474558511e+00,6.316203306708614740e+00
-7.201809692382812500e+01,2.174728393554687500e+01,2.062995101560616273e+00,6.467477177713979231e+00
-7.186341857910156250e+01,2.145669937133789062e+01,2.049104319630871807e+00,6.679110655020362053e+00
-7.167652893066406250e+01,2.117295074462890625e+01,2.011403412817219571e+00,6.944220792341283754e+00
-7.148653411865234375e+01,2.089872741699218750e+01,1.947617642074568334e+00,7.043843392808356363e+00
-7.126905822753906250e+01,2.063142204284667969e+01,1.866554081127810072e+00,7.248424170323776394e+00
-7.103762817382812500e+01,2.036609649658203125e+01,1.768272118469252918e+00,7.437077340550480642e+00
-7.080683898925781250e+01,2.010139274597167969e+01,1.653264438900562627e+00,7.505106302534725771e+00
-7.058862304687500000e+01,1.982915878295898438e+01,1.533711275983325129e+00,7.543034902213825887e+00
-7.039128875732421875e+01,1.954828262329101562e+01,1.409432200553687453e+00,7.551790247484182039e+00
-7.022549438476562500e+01,1.924608802795410156e+01,1.270510133344412651e+00,7.675392620171629154e+00
-7.009448242187500000e+01,1.891719055175781250e+01,1.122409348280124952e+00,7.873124715157673315e+00
-7.000251770019531250e+01,1.856602859497070312e+01,9.682565296386325127e-01,8.082022170654596493e+00
-6.995497131347656250e+01,1.820135498046875000e+01,8.096558325025440261e-01,8.118058179834283905e+00
-6.993808746337890625e+01,1.783610343933105469e+01,6.460583127921671887e-01,8.044328211134237350e+00
-6.996091461181640625e+01,1.748493576049804688e+01,4.736365752573808985e-01,7.944829188148094801e+00
-7.000770568847656250e+01,1.714818763732910156e+01,2.968918281936099302e-01,7.772740603667530834e+00
-7.006111145019531250e+01,1.682595443725585938e+01,1.091305074841842360e-01,7.596735940482157723e+00
-7.015258026123046875e+01,1.652436256408691406e+01,-7.967222572476014009e-02,7.308896712610521540e+00
-7.031000518798828125e+01,1.626449394226074219e+01,-2.589400349605154306e-01,7.141801384717048506e+00
-7.051933288574218750e+01,1.604932785034179688e+01,-4.351612211987336276e-01,7.097390570285031508e+00
-7.076860046386718750e+01,1.588130950927734375e+01,-6.106609071633789521e-01,7.116071954557634527e+00
-7.104730224609375000e+01,1.576329708099365234e+01,-7.864666902058153886e-01,7.162535714484359772e+00
-7.134539031982421875e+01,1.569778060913085938e+01,-9.631437263988710251e-01,7.218698408795936494e+00
-7.165287780761718750e+01,1.568629741668701172e+01,-1.141000476375804817e+00,7.275380437073743600e+00
-7.195986175537109375e+01,1.572909069061279297e+01,-1.320165304501157877e+00,7.327804388636524280e+00
-7.225659179687500000e+01,1.582491397857666016e+01,-1.500670901077311603e+00,7.373380855205976303e+00
-7.253370666503906250e+01,1.597098255157470703e+01,-1.682461472879428488e+00,7.410713801471395357e+00
-7.278248596191406250e+01,1.616296768188476562e+01,-1.865439814527720674e+00,7.439142589920922255e+00
-7.299512481689453125e+01,1.639511108398437500e+01,-2.049473167441847821e+00,7.458492786559593135e+00
-7.316491699218750000e+01,1.666036796569824219e+01,-2.234415590394073448e+00,7.468943655023634776e+00
-7.328656005859375000e+01,1.695061492919921875e+01,-2.420104763715957397e+00,7.470953908151455103e+00
-7.335622406005859375e+01,1.725690841674804688e+01,-2.606378767213222591e+00,7.465233334598136317e+00
-7.337429809570312500e+01,1.758267211914062500e+01,-2.791576587313986835e+00,7.390849761201969237e+00
-7.334548187255859375e+01,1.788706016540527344e+01,-2.976076126576932435e+00,7.287503191430086069e+00
-7.327783203125000000e+01,1.819473457336425781e+01,3.123503398201538772e+00,7.125882539499375667e+00
-7.316932678222656250e+01,1.847320175170898438e+01,2.936634710832858985e+00,7.093107864872710167e+00
-7.302828216552734375e+01,1.872587966918945312e+01,2.751109321918014938e+00,6.861649387197728878e+00
-7.288029479980468750e+01,1.892547225952148438e+01,2.574545736387396477e+00,6.383355810952251019e+00
-7.271530151367187500e+01,1.911281013488769531e+01,2.401037861891535119e+00,5.974252010729180995e+00
-7.255309295654296875e+01,1.927602195739746094e+01,2.247551099838671629e+00,5.415823398189170135e+00
-7.240385437011718750e+01,1.941266822814941406e+01,2.123734349174271507e+00,4.540898626778243852e+00
-7.226918029785156250e+01,1.950352096557617188e+01,2.023354481367004798e+00,3.546483907855193074e+00
-7.215473937988281250e+01,1.954709434509277344e+01,1.949012073221333852e+00,2.597112324102962777e+00
-7.207822418212890625e+01,1.958416175842285156e+01,1.897776049641517249e+00,1.775386683126737752e+00
-7.205030822753906250e+01,1.965640258789062500e+01,1.867770746271812499e+00,1.811497681884397526e+00
-7.206504821777343750e+01,1.976939582824707031e+01,1.860273947803239292e+00,2.647017525227259860e+00
-7.210187530517578125e+01,1.991687774658203125e+01,1.874309872012393186e+00,3.499956969059319967e+00
-7.215995788574218750e+01,2.005213356018066406e+01,1.889400674329327012e+00,2.491045519581003731e+00
-7.222429656982421875e+01,2.017361068725585938e+01,1.915827621300346895e+00,3.158464787459681844e+00
-7.229254913330078125e+01,2.028340721130371094e+01,1.943663247329964205e+00,2.135799228142274853e+00
-7.236563110351562500e+01,2.037919998168945312e+01,1.977582065921540178e+00,2.825067027679664999e+00
-7.244505310058593750e+01,2.046600914001464844e+01,2.012827538210139711e+00,2.210694144615375389e+00
-7.252299499511718750e+01,2.056272125244140625e+01,2.034484763668827689e+00,2.841185418276071850e+00
-7.259001922607421875e+01,2.065935707092285156e+01,2.043471733925354528e+00,2.174687617447459420e+00
-7.264582824707031250e+01,2.077769470214843750e+01,2.042400743692978971e+00,3.052900269368741260e+00
-7.269759368896484375e+01,2.089012718200683594e+01,2.038608402300706057e+00,2.121821648770855884e+00
-7.274887847900390625e+01,2.100120735168457031e+01,2.037259244892471788e+00,2.692424284234249399e+00
-7.279615783691406250e+01,2.110189628601074219e+01,2.034581036942233911e+00,1.937559707751859372e+00
-7.283339691162109375e+01,2.119442176818847656e+01,2.032942127607398675e+00,2.094373314719498058e+00
-7.286331939697265625e+01,2.127287483215332031e+01,2.028270809897345650e+00,1.451898640737850465e+00
-7.288762664794921875e+01,2.134203529357910156e+01,2.020231658672777986e+00,1.547221864535753610e+00
-7.290955352783203125e+01,2.142240905761718750e+01,2.008376996554453786e+00,1.779092529915347498e+00
-7.293460083007812500e+01,2.151191902160644531e+01,1.997224343699474103e+00,1.926679549929644963e+00
-7.295451354980468750e+01,2.157970809936523438e+01,1.991255667064388613e+00,1.063383731320824976e+00
-7.296921539306640625e+01,2.163061523437500000e+01,1.986205647847326006e+00,1.113984860554839695e+00
-7.298250579833984375e+01,2.168696403503417969e+01,1.978048518586467575e+00,1.205542224020173636e+00
-7.299674987792968750e+01,2.175184249877929688e+01,1.968868202834801018e+00,1.410881666701438109e+00
-7.301489257812500000e+01,2.182607460021972656e+01,1.960666865099847334e+00,1.597439349091154481e+00
-7.303710174560546875e+01,2.190681648254394531e+01,1.953417341138488528e+00,1.724711612440158692e+00
-7.305295562744140625e+01,2.196374130249023438e+01,1.950348713772444453e+00,8.054739758205897715e-01
-7.306399536132812500e+01,2.200461578369140625e+01,1.947061307722850687e+00,8.838632975730912333e-01
-7.307420349121093750e+01,2.205058479309082031e+01,1.941554156904675921e+00,9.808319293189570187e-01
-7.308469390869140625e+01,2.210428428649902344e+01,1.934057491594157518e+00,1.202613656957622235e+00
-7.309775543212890625e+01,2.216852951049804688e+01,1.926388120286947281e+00,1.407335884285032090e+00
-7.311416625976562500e+01,2.224016952514648438e+01,1.919688539090689261e+00,1.515655792389354550e+00
-7.312574768066406250e+01,2.229015350341796875e+01,1.916631097001223916e+00,7.310050825906477812e-01
-7.313400268554687500e+01,2.232697296142578125e+01,1.913099612237724179e+00,8.219490758621729176e-01
-7.314180755615234375e+01,2.237015724182128906e+01,1.907571955079155668e+00,9.486963927491383064e-01
-7.315040588378906250e+01,2.242060470581054688e+01,1.901316455994668697e+00,1.076903453247861631e+00
-7.316051483154296875e+01,2.247985076904296875e+01,1.894649099047600593e+00,1.290154832301922294e+00
-7.316728210449218750e+01,2.251913452148437500e+01,1.891136389569786358e+00,5.083149568687870268e-01
-7.317167663574218750e+01,2.254611206054687500e+01,1.888813447308964610e+00,6.145151180562532511e-01
-7.317691040039062500e+01,2.257801437377929688e+01,1.885362523168439886e+00,6.850255690168904898e-01
-7.318254852294921875e+01,2.261674499511718750e+01,1.880552721081702350e+00,8.747466253236365619e-01
-7.318902587890625000e+01,2.266512870788574219e+01,1.874039960635913715e+00,1.062157348055980943e+00
-7.319692993164062500e+01,2.272155952453613281e+01,1.866854485698770771e+00,1.239806793739395285e+00
-7.320238494873046875e+01,2.275972175598144531e+01,1.862856548270343637e+00,5.566450463558121342e-01
-7.320612335205078125e+01,2.278872299194335938e+01,1.859814153041037477e+00,6.266618360567083323e-01
-7.321080780029296875e+01,2.282442092895507812e+01,1.855903567296364853e+00,7.688524408011184752e-01
-7.321588897705078125e+01,2.286794853210449219e+01,1.850748086900135148e+00,9.534892645376368270e-01
-7.322206115722656250e+01,2.291889381408691406e+01,1.844971557337698798e+00,1.072933242489580774e+00
-7.322622680664062500e+01,2.295550155639648438e+01,1.841967777944198303e+00,5.371269219910018711e-01
-7.322904968261718750e+01,2.298331260681152344e+01,1.838974784353112568e+00,5.592852154050643732e-01
-7.323206329345703125e+01,2.301615905761718750e+01,1.834622646499705301e+00,7.376818284607474796e-01
-7.323548889160156250e+01,2.305635452270507812e+01,1.829238533723892335e+00,8.706486799035753066e-01
-7.323946380615234375e+01,2.310215759277343750e+01,1.823496891571735778e+00,9.444315710863439017e-01
-7.324162292480468750e+01,2.313682365417480469e+01,1.819881117759734934e+00,5.547861489469358975e-01
-7.324322509765625000e+01,2.316473007202148438e+01,1.816406092011345397e+00,6.155732429389466631e-01
-7.324475860595703125e+01,2.319577407836914062e+01,1.811914670832926788e+00,6.743206216156486521e-01
-7.324577331542968750e+01,2.323042869567871094e+01,1.806026022188597979e+00,6.989061869441576258e-01
-7.324618530273437500e+01,2.327011680603027344e+01,1.799774784161854990e+00,8.715609161218629275e-01
-7.324577331542968750e+01,2.329783439636230469e+01,1.795917461638984358e+00,3.859477840620243461e-01
-7.324631500244140625e+01,2.331830215454101562e+01,1.793321279050320571e+00,4.323340053328381671e-01
-7.324769592285156250e+01,2.334243583679199219e+01,1.790577557337266201e+00,5.431629960983920258e-01
-7.324877166748046875e+01,2.337222862243652344e+01,1.786526756161201490e+00,6.406858000000040798e-01
-7.325032043457031250e+01,2.340753173828125000e+01,1.779735695381499117e+00,7.310995575276423297e-01
-7.324923706054687500e+01,2.344448852539062500e+01,1.770517829058462445e+00,7.389342516117094473e-01
-7.324311828613281250e+01,2.348060035705566406e+01,1.760071712840681091e+00,7.722408109622248551e-01
-7.323381042480468750e+01,2.350462532043457031e+01,1.751248793307303098e+00,4.515199014721140713e-01
-7.322588348388671875e+01,2.352274322509765625e+01,1.743528156149108943e+00,4.329070237496706608e-01
-7.321675872802734375e+01,2.354326820373535156e+01,1.734186985467601527e+00,5.094458758406911203e-01
-7.320571136474609375e+01,2.356714248657226562e+01,1.723687073395800518e+00,6.009834976829615538e-01
-7.319297027587890625e+01,2.359474372863769531e+01,1.711308700649112335e+00,7.013356894751930914e-01
-7.317887878417968750e+01,2.362461662292480469e+01,1.697832439743038879e+00,7.414032395692073951e-01
-7.316516113281250000e+01,2.364792823791503906e+01,1.686174851545380271e+00,5.249035792893290697e-01
-7.315296936035156250e+01,2.366847419738769531e+01,1.676279477041027643e+00,5.379725267590488302e-01
-7.313725280761718750e+01,2.369219589233398438e+01,1.665761322315759463e+00,4.785353670063197673e-01
-7.312411499023437500e+01,2.371570205688476562e+01,1.654109726230553967e+00,5.304827255390298646e-01
-7.311073303222656250e+01,2.373986244201660156e+01,1.642491819133137687e+00,5.554973926338975243e-01
-7.309636688232421875e+01,2.376527023315429688e+01,1.630512920549961109e+00,6.094419231146018801e-01
-7.308336639404296875e+01,2.378505134582519531e+01,1.620420205808833503e+00,3.907898766843260208e-01
-7.307218933105468750e+01,2.380142021179199219e+01,1.611948956697400348e+00,4.179751941610325705e-01
-7.306066894531250000e+01,2.381930923461914062e+01,1.602770505158497061e+00,4.863269772415065306e-01
-7.304833984375000000e+01,2.383868026733398438e+01,1.593280463772054123e+00,5.306787981227102380e-01
-7.303514099121093750e+01,2.385863876342773438e+01,1.583459391462114452e+00,5.230981781398607033e-01
-7.302130126953125000e+01,2.387900352478027344e+01,1.572957348861441451e+00,5.530229438415944498e-01
-7.300998687744140625e+01,2.389312171936035156e+01,1.564981447712763041e+00,3.470544143381435465e-01
-7.300054168701171875e+01,2.390564346313476562e+01,1.558116883686974763e+00,3.533954084364363535e-01
-7.299084472656250000e+01,2.391879272460937500e+01,1.551028480971565537e+00,3.929738838514674759e-01
-7.298060607910156250e+01,2.393349266052246094e+01,1.543583480986194356e+00,3.964602457426213422e-01
-7.296886444091796875e+01,2.395009040832519531e+01,1.535261635211914610e+00,4.573740767059430445e-01
-7.295565032958984375e+01,2.396805763244628906e+01,1.525969999326682869e+00,4.809209697577156439e-01
-7.294339752197265625e+01,2.398279762268066406e+01,1.517764666850094146e+00,3.921597202350800004e-01
-7.293230438232421875e+01,2.399642944335937500e+01,1.510287043141369523e+00,3.991146846248630475e-01
-7.292118835449218750e+01,2.400974845886230469e+01,1.502903562177179575e+00,3.527490452682978117e-01
-7.290954589843750000e+01,2.402436637878417969e+01,1.494858418840159242e+00,4.336618846963514740e-01
-7.289984893798828125e+01,2.403492546081542969e+01,1.488613572400032226e+00,2.650480876759399584e-01
-7.289083099365234375e+01,2.404486846923828125e+01,1.482696028457876292e+00,2.908140260646905340e-01
-7.288191986083984375e+01,2.405503082275390625e+01,1.476809244026310530e+00,3.007623684107900153e-01
-7.287243652343750000e+01,2.406653022766113281e+01,1.470516993318780496e+00,3.315602753059126995e-01
-7.286138153076171875e+01,2.407961845397949219e+01,1.463131914457936222e+00,3.885654108005553442e-01
-7.285105895996093750e+01,2.409079360961914062e+01,1.456636198243123959e+00,2.992313184550948191e-01
-7.284154510498046875e+01,2.410105895996093750e+01,1.450755805398174392e+00,3.218588262939376388e-01
